Year,Persons_Trial_Completed,Total_Persons_under_Trial
2002,279,893
2002,2160,11736
2002,0,0
2002,1073,3015
2002,33,209
2002,3690,18213
2002,150,902
2002,824,7614
2003,0,28
2003,637,2234
2003,0,378
2003,785,3791
2003,823,9577
2003,44,157
2003,120,1297
2003,12,27
2003,0,1
2003,138,568
2003,4,43
2003,580,9219
2003,384,1374
2003,81,428
2003,235,4848
2003,140,1223
2003,274,1424
2003,70,794
2003,0,0
2003,1285,6475
2003,718,9522
2003,2,76
2003,3,110
2003,1,4
2003,2,46
2003,506,2623
2003,5,19
2003,159,849
2003,1730,10435
2003,0,0
2003,664,2596
2003,27,223
2003,2853,16750
2003,77,931
2003,907,8081
2004,6,31
2004,831,2475
2004,5,403
2004,865,4097
2004,928,9692
2004,42,162
2004,262,1344
2004,3,20
2004,0,0
2004,130,727
2004,7,47
2004,723,9811
2004,403,1301
2004,52,395
2004,355,5255
2004,140,1320
2004,291,1405
2004,107,737
2004,0,0
2004,812,6135
2004,764,9895
2004,3,75
2004,2,119
2004,0,3
2004,47,61
2004,467,2610
2004,10,19
2004,298,1031
2004,1271,9875
2004,0,3
2004,657,2749
2004,76,275
2004,3038,17093
2004,150,985
2004,786,8319
2005,0,25
2005,732,2647
2005,12,416
2005,881,4401
2005,812,9981
2005,17,146
2005,127,1207
2005,5,23
2005,0,4
2005,140,902
2005,11,47
2005,650,10183
2005,259,1147
2005,89,431
2005,377,5604
2005,1023,1422
2005,283,1357
2005,159,887
2005,0,0
2005,1312,6310
2005,770,10329
2005,3,74
2005,24,119
2005,2,3
2005,19,22
2005,328,2663
2005,5,19
2005,181,1023
2005,1166,9502
2005,0,4
2005,899,2990
2005,114,258
2005,2826,17220
2005,117,971
2005,857,8954
2006,0,35
2006,987,3141
2006,12,434
2006,917,4302
2006,1189,10513
2006,61,175
2006,172,1245
2006,1,26
2006,4,5
2006,131,1152
2006,2,48
2006,811,10656
2006,255,1291
2006,58,417
2006,359,6080
2006,233,671
2006,258,1336
2006,129,903
2006,0,0
2006,992,5632
2006,666,10697
2006,1,71
2006,4,110
2006,2,2
2006,7,8
2006,475,2871
2006,2,28
2006,221,1121
2006,1355,9269
2006,0,5
2006,982,2777
2006,21,185
2006,3618,18253
2006,232,1109
2006,1185,9319
2007,6,38
2007,933,3526
2007,7,456
2007,1032,4232
2007,1413,11056
2007,33,145
2007,102,1267
2007,3,32
2007,0,4
2007,148,1225
2007,9,48
2007,561,11108
2007,400,1499
2007,57,423
