981,8,1211,1121,969,97,153,8348,34,1950,9185,10306,
63,0,154,123,71,24,29,341,26,134,352,475,
575,0,1497,1198,120,868,1107,7013,60,695,6510,7708,
4,0,11,11,0,5,5,56,0,4,49,60,
1036,19,1443,1293,211,534,651,2649,33,1247,2622,3915,
2,0,56,42,6,35,28,431,21,8,397,439,
478,50,1233,893,138,1130,1245,3115,225,616,2888,3781,
1037,0,1157,868,139,452,559,5866,182,1176,6174,7042,
23,0,27,20,1,2,1,73,8,24,77,97,
630,501,1144,1156,329,40,16,3864,12,959,4168,5324,
12,0,12,9,0,1,4,12,0,12,15,24,
0,0,2,5,0,3,0,9,0,0,4,9,
510,0,737,684,105,253,297,2548,9,615,2479,3163,
10,1,48,41,7,23,23,64,7,17,41,82,
335,1,481,487,50,32,26,3405,0,385,3304,3791,
355,0,573,569,157,14,18,886,0,512,829,1398,
136,0,187,174,28,43,53,673,3,164,663,837,
143,4,271,269,14,1,3,1160,0,157,1052,1321,
354,29,759,721,189,407,424,2536,21,543,2387,3108,
378,10,397,359,87,131,122,1345,47,465,1461,1820,
344,18,562,537,85,583,530,3496,78,429,3406,3943,
0,0,0,2,2,2,0,2,0,2,2,4,
2763,44,4181,4235,889,107,48,10905,5,3652,10366,14601,
1481,23,1914,1812,290,350,430,14681,22,1771,14663,16475,
5,1,29,2,0,27,39,67,15,5,71,73,
2,0,57,26,3,88,112,333,7,5,312,338,
1,1,15,10,2,41,44,66,2,3,60,70,
9,0,20,41,35,32,11,56,0,44,59,100,
599,0,906,896,165,56,66,3492,0,764,3360,4256,
2,0,6,4,2,5,7,24,0,4,24,28,
299,24,563,536,167,256,260,551,23,466,505,1041,
806,22,995,997,335,10,7,3768,1,1141,3934,4931,
2,0,3,2,2,6,6,2,1,4,4,6,
471,8,681,727,127,393,323,1813,24,598,1692,2419,
56,0,190,130,24,56,57,142,59,80,92,222,
988,3,1942,1788,1130,153,196,8015,111,2118,8348,10136,
42,0,226,185,49,29,41,435,29,91,341,526,
805,0,1661,1566,179,1107,1147,7595,55,984,7013,8579,
7,0,8,8,2,5,5,55,0,9,56,64,
1030,14,1415,1348,197,651,644,2756,74,1227,2649,3997,
4,0,38,32,19,28,23,440,11,23,431,463,
507,40,1406,995,167,1245,1380,3396,276,674,3115,4110,
1017,2,1455,1113,207,559,739,5753,162,1224,5866,6979,
20,0,43,26,7,1,13,72,5,27,73,99,
591,147,1107,1086,493,16,34,3719,3,1084,3864,4950,
9,0,6,8,0,4,2,11,0,9,12,20,
4,0,1,0,0,0,1,5,0,4,9,9,
1362,0,856,848,228,297,289,1806,16,1590,2548,3396,
19,1,34,33,7,23,22,70,2,26,64,97,
313,0,501,475,47,26,52,3520,0,360,3405,3880,
405,0,627,617,147,18,28,951,0,552,886,1503,
202,2,176,190,30,53,28,629,11,232,673,863,
220,0,248,237,5,3,5,1172,9,225,1160,1397,
1380,51,732,262,155,424,589,1212,305,1535,2536,2798,
446,0,381,424,119,122,74,1204,5,565,1345,1769,
361,4,506,520,55,530,514,3596,2,416,3496,4016,
0,0,0,0,0,0,0,2,0,0,2,2,
2710,253,3900,3895,888,48,52,10949,1,3598,10905,14800,
1590,14,2227,2111,208,430,520,14980,26,1798,14681,16792,
